epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789210437,906528,2124,0,0,246740,633910543,634781842
1789210442,900952,2134,0,0,246760,633914544,634785856
1789210447,907460,2148,0,0,246792,633918539,634789868
1789210452,937684,2314,0,0,247388,633922371,634793864
1789210457,1056464,2906,0,0,248164,633925601,634797612
1789210462,1172792,3888,0,0,248780,633928318,634801139
1789210467,1256712,4570,0,0,249580,633931360,634804771
1789210472,1331928,5227,0,0,250340,633934437,634808440
1789210477,1347324,5283,0,0,250440,633938363,634812418
1789210482,1347340,5288,0,0,250488,633942371,634816432
1789210487,1348188,5295,0,0,250508,633946377,634820449
1789210492,1348192,5298,0,0,250556,633950384,634824461
1789210497,1347844,5305,0,0,250604,633954390,634828476
1789210502,1347852,5312,0,0,250632,633958394,634832491
1789210507,1350468,5325,0,0,250680,633962402,634836516
1789210512,1350488,5329,0,0,250680,633966408,634840530
1789210517,1345704,5340,0,0,250680,633970408,634844540
1789210522,1345716,5345,0,0,250680,633974415,634848553
1789210527,1346392,5351,0,0,250680,633978421,634852569
1789210532,1346404,5355,0,0,250680,633982431,634856588
