epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789210725,910392,2206,0,0,246740,634134268,635010954
1789210730,911096,2217,0,0,246760,634138267,635014968
1789210735,912588,2229,0,0,246792,634142266,635018979
1789210741,937928,2297,0,0,247380,634146210,635022995
1789210746,1029124,2659,0,0,250296,634149794,635026917
1789210751,1159944,3523,0,0,271632,634152670,635030565
1789210756,1273748,4471,0,0,291744,634155420,635034112
1789210761,1336360,5229,0,0,317124,634158363,635037754
1789210766,1398356,5910,0,0,344748,634161388,635041407
1789210771,1480540,6595,0,0,368804,634164380,635044993
1789210776,1480644,6604,0,0,368824,634168384,635049009
1789210781,1480692,6608,0,0,368872,634172391,635053026
1789210786,1469932,6622,0,0,368920,634176393,635057044
1789210791,1469812,6627,0,0,368948,634180400,635061060
1789210796,1465108,6641,0,0,368996,634184397,635065073
1789210801,1465140,6646,0,0,368996,634188404,635069089
1789210806,1465748,6652,0,0,368996,634192409,635073103
1789210811,1465760,6657,0,0,368996,634196419,635077121
1789210816,1466528,6662,0,0,368996,634200424,635081136
1789210821,1466548,6667,0,0,368996,634204431,635085153
1789210826,1469124,6672,0,0,368996,634208438,635089169
1789210831,1469280,6678,0,0,368996,634212446,635093184
