epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789214656,986120,2181,0,0,246720,637170213,638163785
1789214666,972204,2201,0,0,246792,637178203,638171803
1789214676,1064052,2681,0,0,247964,637185630,638179657
1789214686,1226004,4401,0,0,249252,637191318,638186792
1789214696,1408968,5743,0,0,250728,637197395,638193982
1789214706,1553800,6991,0,0,360432,637203572,638201233
1789214716,1671476,8192,0,0,566324,637209826,638208554
1789214726,1672400,9472,0,0,586524,637215934,638215738
1789214736,1714116,10596,0,0,696256,637222226,638222986
1789214746,1794744,11675,0,0,697940,637228590,638230298
1789214756,1883184,12832,0,0,922528,637234828,638237508
1789214766,1941908,13926,0,0,951380,637241149,638244851
1789214776,1999660,15047,0,0,1033944,637247431,638252081
1789214786,2090448,16205,0,0,1221308,637253654,638259327
1789214796,2112116,17315,0,0,1260036,637259949,638266568
1789214806,2152600,18410,0,0,1369856,637266272,638273884
1789214816,2247120,19536,0,0,1390204,637272572,638281188
1789214826,2301824,20614,0,0,1596100,637278888,638288431
1789214836,2348136,21573,0,0,1660964,637285335,638295700
1789214846,2418012,22537,0,0,1707824,637291817,638303043
1789214857,2491316,23603,0,0,1913700,637298126,638310267
1789214867,2518428,24647,0,0,1942880,637304477,638317497
1789214877,2573072,25684,0,0,2043876,637310870,638324793
1789214887,2681392,26771,0,0,2138320,637317166,638332021
1789214897,2716456,27820,0,0,2269924,637323543,638339292
1789214907,2765984,28861,0,0,2370848,637329939,638346574
1789214917,2860752,30000,0,0,2399912,637336214,638353775
1789214927,2904324,31071,0,0,2587232,637342554,638361014
1789214937,2952284,32141,0,0,2634576,637348921,638368282
1789214947,3027088,33213,0,0,2717216,637355287,638375596
1789214957,3104872,34295,0,0,2830268,637361628,638382905
1789214967,3129564,34909,0,0,2942716,637368705,638390526
1789214977,3129888,34917,0,0,2942716,637376706,638398539
1789214987,3118596,34924,0,0,2942716,637384707,638406549
1789214997,3107428,34934,0,0,2942716,637392708,638414564
1789215007,3107460,34942,0,0,2942716,637400707,638422577
1789215017,3107460,34949,0,0,2942716,637408705,638430585
1789215027,3107464,34958,0,0,2942716,637416702,638438595
