epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789218721,1007580,2215,0,0,246720,639905115,641177646
1789218731,997392,2245,0,0,246792,639913091,641185658
1789218741,1040044,2653,0,0,247412,639920631,641193601
1789218751,1275456,4645,0,0,288112,639925884,641200389
1789218761,1460432,6477,0,0,341208,639931235,641207244
1789218771,1583464,8165,0,0,395800,639936733,641214099
1789218781,1699480,10003,0,0,448780,639941969,641220744
1789218791,1811940,11726,0,0,506668,639947366,641227571
1789218801,1944092,13514,0,0,562064,639952698,641234307
1789218811,2070396,15352,0,0,616108,639957948,641241036
1789218821,2198620,17063,0,0,672344,639963349,641247854
1789218831,2337256,18807,0,0,728764,639968739,641254665
1789218841,2465644,20560,0,0,784184,639974108,641261503
1789218851,2598944,22342,0,0,841568,639979413,641268239
1789218861,2753948,24083,0,0,899764,639984796,641275085
1789218871,2884836,25764,0,0,957912,639990203,641281811
1789218881,3031592,27435,0,0,1017000,639995630,641288583
1789218891,3160252,29175,0,0,1074512,640000934,641295229
1789218901,3298136,30900,0,0,1131700,640006256,641301963
1789218911,3433096,32591,0,0,1191660,640011646,641308761
1789218921,3571452,34319,0,0,1248600,640017009,641315559
1789218931,3706536,36044,0,0,1307400,640022351,641322333
1789218941,3840296,37751,0,0,1366176,640027753,641329117
1789218952,3971852,39543,0,0,1422572,640033001,641335802
1789218962,4118292,41140,0,0,1483204,640038518,641342716
1789218972,4252412,42766,0,0,1543536,640043985,641349560
1789218982,4384416,44413,0,0,1601068,640049400,641356330
1789218992,4529240,45948,0,0,1661908,640054992,641363220
1789219002,4665464,47533,0,0,1730732,640060506,641370007
1789219012,4809860,49153,0,0,1790180,640065963,641376811
1789219022,4950720,50788,0,0,1851192,640071433,641383650
1789219032,5078940,52416,0,0,1910424,640076906,641390459
1789219042,5211140,54130,0,0,1968060,640082272,641397244
1789219052,5345756,55773,0,0,2036700,640087747,641404101
1789219062,5485460,57462,0,0,2112204,640093153,641410909
1789219072,5616116,59181,0,0,2170604,640098514,641417670
1789219082,5740416,60878,0,0,2228900,640103920,641424444
1789219092,5879196,62534,0,0,2295332,640109354,641431246
1789219102,6006732,64114,0,0,2362412,640114913,641438130
1789219112,6147748,65651,0,0,2440616,640120550,641445094
1789219122,6283580,67278,0,0,2507452,640126017,641451936
1789219132,6425168,68899,0,0,2566260,640131519,641458774
1789219142,6553876,70520,0,0,2633536,640137030,641465629
1789219152,6683808,72236,0,0,2690200,640142379,641472403
1789219162,6827420,73661,0,0,2763084,640148161,641479448
1789219172,6826632,73669,0,0,2763084,640156157,641487459
1789219182,6826972,73677,0,0,2763084,640164151,641495470
1789219192,6826972,73686,0,0,2763084,640172146,641503483
1789219202,6826972,73693,0,0,2763084,640180140,641511493
1789219212,6826980,73702,0,0,2763084,640188137,641519508
1789219222,6826988,73710,0,0,2763084,640196136,641527526
1789219232,6826988,73718,0,0,2763084,640204131,641535541
1789219242,6827492,73729,0,0,2763084,640212121,641543549
