epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789216702,908812,2108,0,0,246720,638484498,639643185
1789216712,914676,2128,0,0,246792,638492489,639651195
1789216722,1008004,2540,0,0,247588,638500038,639659172
1789216732,1288916,4430,0,0,305492,638505488,639666231
1789216742,1484864,5893,0,0,377636,638511389,639673357
1789216752,1637888,7184,0,0,452940,638517474,639680529
1789216762,1840512,8439,0,0,533572,638523653,639687910
1789216772,2014848,9645,0,0,617808,638529893,639695338
1789216782,2176588,10970,0,0,695256,638535942,639702608
1789216792,2350844,12192,0,0,777472,638542087,639709895
1789216802,2534920,13401,0,0,858908,638548250,639717209
1789216812,2717916,14609,0,0,940192,638554422,639724567
1789216823,2912004,15725,0,0,1026692,638560714,639731976
1789216833,2996640,16366,0,0,1068880,638567725,639739540
1789216843,2997568,16375,0,0,1068880,638575720,639747549
1789216853,2997744,16386,0,0,1068880,638583717,639755565
1789216863,3002076,16397,0,0,1068880,638591708,639763571
1789216873,3002664,16407,0,0,1068880,638599703,639771579
1789216883,3001864,16418,0,0,1068880,638607696,639779587
1789216893,3002476,16426,0,0,1068880,638615691,639787595
