epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789216703,969956,2298,0,0,246740,638402091,639557926
1789216713,961320,2319,0,0,246792,638410075,639565937
1789216723,1082568,2947,0,0,252244,638417326,639573769
1789216733,1332832,4935,0,0,305104,638422613,639580713
1789216743,1505384,6509,0,0,368236,638428364,639587754
1789216753,1650476,7860,0,0,432428,638434321,639594897
1789216763,1795868,9116,0,0,501620,638440434,639602157
1789216774,1955512,10430,0,0,573900,638446428,639609311
1789216784,2119256,11884,0,0,639632,638452256,639616396
1789216794,2268272,13176,0,0,720280,638458257,639623519
1789216804,2438076,14489,0,0,790636,638464206,639630619
1789216814,2574760,15792,0,0,859824,638470190,639637701
1789216824,2746212,17009,0,0,933392,638476296,639644863
1789216834,2816444,17514,0,0,962568,638483511,639652480
1789216844,2817060,17523,0,0,962568,638491506,639660487
1789216854,2818144,17533,0,0,962568,638499499,639668492
1789216864,2815568,17544,0,0,962568,638507495,639676505
1789216874,2817028,17554,0,0,962568,638515489,639684514
1789216884,2819820,17562,0,0,962568,638523487,639692523
1789216894,2820608,17572,0,0,962568,638531480,639700534
1789216904,2823372,17581,0,0,962568,638539480,639708546
