epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789217127,891740,2061,0,0,246740,638714124,639886630
1789217137,894784,2084,0,0,246792,638722104,639894637
1789217147,1040096,2520,0,0,248196,638729614,639902571
1789217157,1397756,4549,0,0,329260,638734957,639909509
1789217167,1647836,6282,0,0,432140,638740520,639916497
1789217177,1896732,7941,0,0,536272,638746120,639923434
1789217187,2129004,9579,0,0,645160,638751718,639930364
1789217197,2340484,11180,0,0,752940,638757398,639937313
1789217207,2575276,12756,0,0,865328,638763090,639944290
1789217217,2827512,14317,0,0,982148,638768796,639951322
1789217227,3064352,16082,0,0,1087760,638774262,639958164
1789217237,3314668,17637,0,0,1202792,638779957,639965137
1789217247,3561752,19196,0,0,1320596,638785632,639972054
1789217257,3809124,20766,0,0,1434144,638791310,639979002
1789217268,4055484,22392,0,0,1552748,638796952,639985926
1789217278,4317020,23987,0,0,1671420,638802632,639992870
1789217288,4386232,24546,0,0,1705284,638809819,640000443
1789217298,4387712,24554,0,0,1705284,638817814,640008450
1789217308,4383724,24563,0,0,1705284,638825807,640016455
1789217318,4384124,24574,0,0,1705284,638833799,640024463
1789217328,4384848,24583,0,0,1705284,638841795,640032472
1789217338,4388044,24597,0,0,1705284,638849784,640040482
1789217348,4382832,24607,0,0,1705284,638857774,640048491
1789217358,4392844,24622,0,0,1705284,638865755,640056493
