epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789211313,911568,2122,0,0,246740,634588036,635476434
1789211318,898944,2135,0,0,246760,634592038,635480454
1789211323,899452,2141,0,0,246792,634596053,635484477
1789211328,938936,2229,0,0,247352,634599972,635488489
1789211333,1056864,2763,0,0,254384,634603317,635492292
1789211338,1178844,3910,0,0,273116,634605815,635495695
1789211343,1289524,4839,0,0,296652,634608558,635499188
1789211348,1362836,5593,0,0,324048,634611496,635502804
1789211353,1412528,6356,0,0,348284,634614371,635506279
1789211358,1484596,6843,0,0,367320,634617668,635509945
1789211363,1485196,6851,0,0,367340,634621674,635513961
1789211368,1485260,6856,0,0,367388,634625680,635517974
1789211373,1476080,6862,0,0,367436,634629685,635521986
1789211378,1476160,6867,0,0,367464,634633690,635525999
1789211383,1465464,6879,0,0,367512,634637688,635530012
1789211388,1465468,6883,0,0,367512,634641695,635534025
1789211393,1469184,6893,0,0,367512,634645699,635538042
1789211398,1469188,6897,0,0,367512,634649705,635542053
1789211403,1471784,6903,0,0,367512,634653714,635546068
1789211408,1471832,6908,0,0,367512,634657724,635550086
1789211413,1472488,6914,0,0,367512,634661729,635554101
