epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789211024,895424,2103,0,0,246740,634364165,635247382
1789211029,890508,2112,0,0,246760,634368167,635251396
1789211034,894748,2123,0,0,246792,634372168,635255411
1789211039,934644,2287,0,0,247388,634375998,635259399
1789211044,1044112,2810,0,0,248164,634379340,635263205
1789211049,1177036,3691,0,0,248876,634382192,635266860
1789211054,1246756,4442,0,0,249580,634385134,635270415
1789211059,1324212,5088,0,0,250368,634388232,635274088
1789211064,1324560,5104,0,0,250432,634392225,635278095
1789211069,1316440,5109,0,0,250480,634396233,635282112
1789211074,1317100,5117,0,0,250500,634400236,635286123
1789211079,1317112,5121,0,0,250548,634404243,635290138
1789211084,1319264,5127,0,0,250596,634408247,635294150
1789211089,1319348,5135,0,0,250624,634412250,635298167
1789211094,1318240,5148,0,0,250672,634416247,635302178
1789211099,1318280,5154,0,0,250672,634420258,635306198
1789211105,1315524,5161,0,0,250672,634424263,635310213
1789211110,1315532,5164,0,0,250672,634428271,635314226
1789211115,1316136,5170,0,0,250672,634432278,635318242
1789211120,1316856,5176,0,0,250672,634436284,635322257
