epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789211311,903448,2130,0,0,246720,634647958,635545322
1789211316,901180,2137,0,0,246760,634651961,635549336
1789211321,891932,2150,0,0,246792,634655961,635553351
1789211326,894588,2165,0,0,246812,634659960,635557372
1789211331,1025340,2552,0,0,249728,634663510,635561278
1789211336,1160096,3649,0,0,269736,634666033,635564671
1789211342,1253368,4748,0,0,290860,634668564,635568065
1789211347,1321328,5567,0,0,318264,634671399,635571580
1789211352,1386500,6454,0,0,342752,634674118,635574992
1789211357,1475484,7205,0,0,368648,634677018,635578493
1789211362,1473188,7211,0,0,368696,634681022,635582507
1789211367,1473212,7216,0,0,368744,634685028,635586518
1789211372,1469548,7222,0,0,368772,634689034,635590534
1789211377,1469592,7227,0,0,368820,634693039,635594544
1789211382,1463072,7243,0,0,368868,634697037,635598558
1789211387,1463080,7247,0,0,368868,634701044,635602571
1789211392,1463700,7253,0,0,368868,634705049,635606583
1789211397,1463480,7257,0,0,368868,634709058,635610598
1789211402,1464148,7263,0,0,368868,634713066,635614616
1789211407,1464156,7267,0,0,368868,634717072,635618627
1789211412,1466884,7274,0,0,368868,634721077,635622643
