epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789211023,951388,2040,0,0,246720,634423700,635316010
1789211028,951524,2047,0,0,246760,634427705,635320025
1789211033,955992,2060,0,0,246792,634431704,635324040
1789211038,984520,2096,0,0,247320,634435679,635328056
1789211043,1045876,2515,0,0,248036,634439186,635331971
1789211048,1150448,3372,0,0,248832,634442097,635335645
1789211053,1245324,4055,0,0,249780,634445156,635339318
1789211058,1311516,4695,0,0,250652,634448279,635343011
1789211063,1341124,4831,0,0,250988,634452097,635346952
1789211068,1341140,4837,0,0,251008,634456103,635350965
1789211073,1341728,4843,0,0,251056,634460107,635354978
1789211078,1341756,4848,0,0,251104,634464113,635358991
1789211083,1340236,4855,0,0,251132,634468115,635363003
1789211088,1329064,4862,0,0,251180,634472121,635367021
1789211093,1329940,4873,0,0,251228,634476122,635371033
1789211098,1329016,4877,0,0,251228,634480130,635375048
1789211103,1329720,4888,0,0,251228,634484132,635379063
1789211108,1329740,4892,0,0,251228,634488141,635383080
1789211113,1330340,4899,0,0,251228,634492146,635387094
1789211118,1330348,4903,0,0,251228,634496155,635391110
