epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789218080,1204912,2301,0,0,209480,639387420,640610862
1789218090,1205320,2396,0,0,209540,639395322,640618878
1789218100,1343948,3080,0,0,256528,639402503,640626685
1789218110,1792444,5628,0,0,393868,639407222,640633204
1789218120,2229456,8438,0,0,562052,639411520,640639466
1789218130,2681576,11009,0,0,770156,639416014,640645823
1789218140,3123448,13489,0,0,975552,639420577,640652106
1789218151,3580488,15912,0,0,1190496,639425198,640658428
1789218161,4071808,18282,0,0,1408960,639429919,640664829
1789218171,4537192,20638,0,0,1639012,639434609,640671240
1789218181,5017716,22967,0,0,1868300,639439341,640677611
1789218191,5492432,25266,0,0,2093228,639444092,640683997
1789218201,5956924,27594,0,0,2308840,639448813,640690343
1789218211,6422076,30114,0,0,2523724,639453345,640696731
1789218221,6896000,32483,0,0,2745852,639458044,640703122
1789218231,7342516,34921,0,0,2966848,639462629,640709485
1789218241,7809508,37328,0,0,3196384,639467264,640715845
1789218251,8295036,39866,0,0,3412740,639471774,640722162
1789218261,8787108,42130,0,0,3652144,639476536,640728649
1789218271,9262352,44521,0,0,3872804,639481209,640734982
1789218281,9731768,46962,0,0,4096076,639485777,640741262
1789218291,10217832,49367,0,0,4326740,639490423,640747616
1789218301,10230864,49450,0,0,4331128,639498327,640755594
1789218311,10231484,49476,0,0,4331128,639506300,640763598
1789218321,10232140,49503,0,0,4331128,639514272,640771604
1789218331,10232540,49532,0,0,4331128,639522243,640779604
1789218341,10232620,49558,0,0,4331128,639530216,640787605
1789218351,10231928,49595,0,0,4331128,639538177,640795610
1789218361,10248168,49683,0,0,4331128,639546070,640803591
1789218371,10242256,49719,0,0,4331128,639554023,640811585
1789218381,10242268,49746,0,0,4331128,639561989,640819581
1789218391,10245904,49790,0,0,4331128,639569939,640827580
1789218401,10245924,49826,0,0,4331128,639577894,640835578
