epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789217581,1228856,2232,0,0,201200,639039701,640234393
1789217591,1198140,2336,0,0,201260,639047596,640242393
1789217601,1342404,2972,0,0,256856,639054820,640250218
1789217611,1726108,5264,0,0,347112,639059785,640257013
1789217621,2013804,7356,0,0,469728,639064776,640263598
1789217631,2313844,9345,0,0,607320,639069849,640270227
1789217641,2599436,11364,0,0,738096,639074847,640276702
1789217651,2908696,13441,0,0,881360,639079802,640283205
1789217661,3237272,15327,0,0,1031828,639084966,640289863
1789217671,3547032,17061,0,0,1183100,639090277,640296542
1789217681,3854416,18856,0,0,1332072,639095520,640303154
1789217691,4152828,20763,0,0,1467404,639100680,640309748
1789217701,4451584,22624,0,0,1615556,639105845,640316327
1789217711,4784736,24391,0,0,1770084,639111114,640322950
1789217721,5088184,26204,0,0,1919688,639116327,640329538
1789217731,5424192,27997,0,0,2076304,639121542,640336195
1789217741,5734948,29858,0,0,2229884,639126659,640342695
1789217751,6078236,31664,0,0,2390872,639131908,640349329
1789217761,6306232,32880,0,0,2497096,639137978,640356366
1789217771,6306904,32915,0,0,2497096,639145945,640364375
1789217781,6307560,32938,0,0,2497096,639153924,640372390
1789217791,6307364,32961,0,0,2497096,639161900,640380399
1789217801,6308288,32984,0,0,2497096,639169879,640388410
1789217811,6310880,33005,0,0,2497096,639177858,640396415
1789217821,6311504,33030,0,0,2497096,639185832,640404422
1789217832,6317436,33077,0,0,2497096,639193781,640412430
1789217842,6316540,33105,0,0,2497096,639201750,640420431
1789217852,6316676,33133,0,0,2497096,639209720,640428435
