epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789218079,1236688,2211,0,0,217740,639467789,640698032
1789218089,1212792,2326,0,0,217820,639475674,640706039
1789218099,1336744,2932,0,0,252996,639482970,640713904
1789218109,1777780,5539,0,0,372640,639487701,640720517
1789218119,2235096,8778,0,0,547272,639491586,640726716
1789218129,2681896,11490,0,0,748208,639495923,640732976
1789218139,3137416,14150,0,0,951568,639500319,640739224
1789218149,3581276,16663,0,0,1167108,639504856,640745574
1789218159,4063356,19201,0,0,1388176,639509425,640751943
1789218169,4545792,21738,0,0,1612428,639513935,640758294
1789218180,4999920,24192,0,0,1841420,639518551,640764702
1789218190,5483280,26643,0,0,2063348,639523177,640771061
1789218200,5972376,29145,0,0,2283344,639527726,640777410
1789218210,6436212,31676,0,0,2503172,639532267,640783752
1789218220,6884980,34097,0,0,2714820,639536915,640790091
1789218230,7349032,36652,0,0,2940364,639541414,640796448
1789218240,7806552,39157,0,0,3165692,639545976,640802834
1789218250,8280708,41615,0,0,3387996,639550567,640809160
1789218260,8762852,44128,0,0,3626020,639555120,640815503
1789218270,9217704,46614,0,0,3841684,639559697,640821814
1789218280,9695768,49158,0,0,4068536,639564174,640828114
1789218290,10177644,51671,0,0,4297568,639568715,640834420
1789218300,10254832,52043,0,0,4331128,639576205,640842174
1789218310,10257344,52073,0,0,4331128,639584175,640850179
1789218320,10259256,52102,0,0,4331128,639592146,640858183
1789218330,10261400,52138,0,0,4331128,639600115,640866194
1789218340,10261416,52168,0,0,4331128,639608083,640874198
1789218350,10261328,52196,0,0,4331128,639616057,640882206
1789218360,10265976,52246,0,0,4331128,639623995,640890201
1789218370,10266228,52291,0,0,4331128,639632011,640898265
